username,name,url_main,url_user,exists,http_status
Mark,Code Sandbox,https://codesandbox.io,https://codesandbox.io/u/Mark,Claimed,200
Mark,Bookcrossing,https://www.bookcrossing.com/,https://www.bookcrossing.com/mybookshelf/Mark/,Claimed,200
Mark,Depop,https://www.depop.com,https://www.depop.com/Mark,Unknown,403
Mark,Anime-planet,https://www.anime-planet.com,https://www.anime-planet.com/users/Mark,Claimed,200
Mark,Empowher,https://www.empowher.com,https://www.empowher.com/users/Mark,Claimed,200
Mark,Armorgames,https://armorgames.com,https://armorgames.com/user/Mark,Available,302
Mark,Lesswrong,https://www.lesswrong.com,https://www.lesswrong.com/users/@Mark,Available,200
Mark,RapidAPI,https://rapidapi.com,https://rapidapi.com/blog/author/Mark/,Available,404
Mark,JeuxVideo,http://www.jeuxvideo.com,http://www.jeuxvideo.com/profil/Mark?mode=infos,Available,404
Mark,PlanetMinecraft,https://www.planetminecraft.com,https://www.planetminecraft.com/member/Mark,Claimed,200
Mark,Fotki,https://fotki.com,https://members.fotki.com/Mark/about/,Available,200
Mark,Sporcle,https://www.sporcle.com/,https://www.sporcle.com/user/Mark/people,Unknown,403
Mark,Kongregate,https://www.kongregate.com/,https://www.kongregate.com/accounts/Mark,Available,404
Mark,Freesound,https://freesound.org/,https://freesound.org/people/Mark/,Claimed,200
Mark,Namepros,https://www.namepros.com/,https://www.namepros.com/members/?username=Mark,Available,403
Mark,Globalvoices,https://globalvoices.org,https://globalvoices.org/author/Mark/,Available,404
Mark,Guru,https://www.guru.com,https://www.guru.com/freelancers/Mark,Available,410
Mark,Exposure,https://exposure.co/,https://Mark.exposure.co/,Unknown,403
Mark,Booth,https://booth.pm/,https://Mark.booth.pm/,Claimed,200
Mark,Xvideos,https://xvideos.com/,https://xvideos.com/profiles/Mark,Available,404
Mark,Tinder,https://tinder.com/,https://www.tinder.com/@Mark,Claimed,200
Mark,Warrior Forum,https://www.warriorforum.com/,https://www.warriorforum.com/members/Mark.html,Claimed,200
Mark,LiveLib,https://www.livelib.ru/,https://www.livelib.ru/reader/Mark,Unknown,403
Mark,Coroflot,https://coroflot.com/,https://www.coroflot.com/Mark,Claimed,200
Mark,Mstdn.social,https://mstdn.social/,https://mstdn.social/@Mark,Claimed,200
Mark,AllKPop,https://www.allkpop.com/,https://www.allkpop.com/profile/Mark,Claimed,200
Mark,Rarible,https://rarible.com/,https://rarible.com/Mark,Claimed,200
Mark,Periscope,https://www.periscope.tv/,https://www.periscope.tv/Mark/,Claimed,200
Mark,Gutefrage,https://www.gutefrage.net/,https://www.gutefrage.net/nutzer/Mark,Available,404
Mark,Tinkoff Invest,https://www.tbank.ru/invest/,https://www.tbank.ru/invest/social/profile/Mark/,Claimed,200
Mark,Coderwall,https://coderwall.com/,https://coderwall.com/Mark,Claimed,200
Mark,Star Citizen,https://robertsspaceindustries.com/,https://robertsspaceindustries.com/citizens/Mark,Claimed,200
Mark,Minds,https://www.minds.com,https://www.minds.com/Mark,Claimed,200
Mark,Ccm,https://ccm.net,https://ccm.net/profile/user/Mark,Claimed,200
Mark,Aufeminin,https://www.aufeminin.com,https://www.aufeminin.com/profile/Mark,Available,302
Mark,Garden,https://garden.org,https://garden.org/users/profile/Mark/,Claimed,200
Mark,GBAtemp.net,https://gbatemp.net/,https://gbatemp.net/members/?username=Mark,Claimed,200
Mark,Flyertalk,https://www.flyertalk.com,https://www.flyertalk.com/forum/members/Mark.html,Claimed,200
Mark,VideoHive,https://videohive.net,https://videohive.net/user/Mark,Claimed,200
Mark,Proza.ru,https://www.proza.ru/,https://www.proza.ru/avtor/Mark,Available,200
Mark,adblockplus.org,https://adblockplus.org,https://adblockplus.org/forum/search.php?keywords=&terms=all&author=Mark,Available,200
Mark,domestika.org,https://www.domestika.org,https://www.domestika.org/Mark,Claimed,200
Mark,Neoseeker,https://www.neoseeker.com,https://www.neoseeker.com/members/Mark/,Unknown,403
Mark,Sythe,https://www.sythe.org,https://www.sythe.org/members/?username=Mark,Available,403
Mark,Avforums,https://www.avforums.com,https://www.avforums.com/members/?username=Mark,Claimed,200
Mark,FilmWeb,https://www.filmweb.pl/user/adam,https://www.filmweb.pl/user/Mark,Claimed,200
Mark,Observable,https://observablehq.com,https://observablehq.com/@Mark,Available,404
Mark,Otzovik,https://otzovik.com/,https://otzovik.com/profile/Mark,Unknown,507
Mark,SparkPeople,https://www.sparkpeople.com,https://www.sparkpeople.com/mypage.asp?id=Mark,Available,404
Mark,pixelfed.social,https://pixelfed.social/,https://pixelfed.social/Mark/,Claimed,200
Mark,Clubhouse,https://www.clubhouse.com,https://www.clubhouse.com/@Mark,Claimed,200
Mark,Listal,https://listal.com/,https://Mark.listal.com/,Claimed,200
Mark,Codementor,https://www.codementor.io/,https://www.codementor.io/Mark,Available,404
Mark,Weedmaps,https://weedmaps.com,https://weedmaps.com/brands/Mark,Available,406
